Interval,Open,High,Low,Close
2024-01-10 10:00,159.90,159.90,135.35,138.95
2024-01-10 09:30,58.15,149.00,56.60,143.30
2024-01-10 12:35,145.35,153.05,133.70,143.95
2024-01-10 09:15,111.20,114.95,75.05,89.00
2024-01-10 09:25,83.05,85.25,57.70,58.15
2024-01-10 12:20,117.85,129.45,108.15,115.95
2024-01-10 13:35,94.90,101.90,83.85,91.60
2024-01-10 11:00,120.35,142.25,108.50,128.95
2024-01-10 11:55,155.15,162.15,141.35,153.05
2024-01-10 10:30,159.95,198.35,158.30,182.85
2024-01-10 09:35,143.30,159.75,96.75,131.80
2024-01-10 10:25,163.55,166.95,134.90,159.95
2024-01-10 12:40,143.95,146.30,105.50,107.80
2024-01-10 13:15,109.90,125.00,89.80,103.20
2024-01-10 10:10,141.95,195.00,139.25,181.50
2024-01-10 11:45,160.90,175.00,144.00,158.30
2024-01-10 11:30,142.85,151.70,124.70,127.10
2024-01-10 11:35,122.95,173.20,121.85,167.55
2024-01-10 10:15,181.50,238.70,175.05,215.75
2024-01-10 11:05,128.95,131.10,102.40,114.30
2024-01-10 11:20,139.55,153.70,136.15,148.15
2024-01-10 10:05,138.95,157.60,121.05,141.95
2024-01-10 11:15,145.20,161.90,129.05,139.55
2024-01-10 12:10,118.40,137.60,114.40,125.30
2024-01-10 12:15,125.30,128.25,112.80,117.85
2024-01-10 13:05,85.25,108.65,81.50,90.55
2024-01-10 13:40,93.65,106.85,76.55,105.45
2024-01-10 09:20,89.00,94.00,77.70,83.05
2024-01-10 09:40,131.80,180.00,118.75,179.75
2024-01-10 13:30,106.10,126.45,92.15,94.90
2024-01-10 13:45,105.45,106.70,77.50,86.70
2024-01-10 10:50,131.50,141.70,117.30,125.10
2024-01-10 12:05,131.40,134.20,96.70,120.40
2024-01-10 10:45,147.60,159.15,117.80,131.50
2024-01-10 09:50,127.95,165.20,120.95,150.10
2024-01-10 09:55,150.10,171.40,121.00,159.90
2024-01-10 10:55,125.10,142.30,106.35,120.35
2024-01-10 11:25,148.15,170.40,136.60,142.85
2024-01-10 11:50,158.30,170.30,145.85,155.15
2024-01-10 12:25,115.95,133.80,111.95,130.80
2024-01-10 12:30,130.80,156.30,120.00,146.55
2024-01-10 13:10,90.55,120.60,85.10,110.50
2024-01-10 10:35,182.85,193.20,172.10,185.40
2024-01-10 10:40,185.40,187.20,143.75,147.60
2024-01-10 13:20,103.20,109.55,88.75,102.35
2024-01-10 12:00,153.05,160.45,130.55,131.40
2024-01-10 12:45,107.80,143.15,51.90,96.55
2024-01-10 13:25,102.35,113.70,94.95,107.05
2024-01-10 11:10,114.30,150.30,107.20,144.75
2024-01-10 11:40,167.55,202.10,158.25,162.15
2024-01-10 12:50,95.35,97.60,75.50,90.00
2024-01-10 12:55,90.00,92.85,77.75,85.45
2024-01-10 13:00,85.45,93.65,78.00,84.65
2024-01-10 09:45,179.75,183.00,105.45,127.95
2024-01-10 10:20,215.75,223.00,156.65,163.55
