Interval,Open,High,Low,Close
2024-01-10 11:40,11.15,11.90,9.75,11.80
2024-01-10 11:45,11.80,13.65,11.00,12.05
2024-01-10 12:00,12.25,14.85,11.30,14.70
2024-01-10 12:50,19.45,24.85,16.70,17.75
2024-01-10 10:40,16.15,22.70,15.85,21.60
2024-01-10 13:00,18.95,20.95,16.30,18.10
2024-01-10 10:05,25.40,27.70,21.20,23.40
2024-01-10 12:30,14.50,16.25,11.45,11.75
2024-01-10 13:10,15.75,17.10,12.05,12.95
2024-01-10 13:35,13.75,16.30,13.00,14.15
2024-01-10 10:45,21.60,26.20,19.60,22.90
2024-01-10 13:05,18.00,18.85,13.10,15.75
2024-01-10 13:45,10.70,16.75,10.35,13.25
2024-01-10 09:15,65.00,83.60,53.60,58.40
2024-01-10 12:05,14.70,21.85,14.45,16.35
2024-01-10 12:45,16.90,44.70,11.45,19.45
2024-01-10 11:00,22.55,24.15,17.20,19.00
2024-01-10 11:05,19.00,24.60,18.60,20.55
2024-01-10 12:20,17.00,19.15,14.80,17.30
2024-01-10 13:20,12.70,15.25,12.60,13.75
2024-01-10 13:15,12.95,15.70,11.75,12.70
2024-01-10 09:40,34.20,37.75,24.55,24.75
2024-01-10 10:55,21.20,25.15,19.85,22.55
2024-01-10 11:15,15.20,17.35,12.40,16.00
2024-01-10 12:40,11.80,17.20,11.60,16.90
2024-01-10 12:35,11.75,13.05,11.45,11.80
2024-01-10 10:00,22.20,25.95,21.65,25.40
2024-01-10 09:55,25.10,31.30,19.45,22.20
2024-01-10 10:10,23.40,23.40,17.95,18.15
2024-01-10 11:30,13.40,16.45,12.50,15.95
2024-01-10 13:25,13.65,14.70,12.50,12.80
2024-01-10 11:10,20.55,22.20,14.80,15.20
2024-01-10 12:25,17.05,18.40,14.45,14.50
2024-01-10 12:10,16.35,17.45,12.50,14.70
2024-01-10 12:55,17.75,22.05,17.70,18.95
2024-01-10 09:20,58.40,69.00,53.35,60.30
2024-01-10 10:15,18.15,18.95,13.70,16.15
2024-01-10 10:20,16.15,21.85,15.55,20.80
2024-01-10 10:25,21.35,25.95,19.05,19.70
2024-01-10 13:30,12.80,14.20,10.45,13.80
2024-01-10 13:40,14.15,17.60,10.70,10.75
2024-01-10 09:30,80.25,84.70,31.30,31.30
2024-01-10 09:35,31.30,48.00,28.15,34.20
2024-01-10 10:50,22.90,24.55,18.70,21.20
2024-01-10 11:20,16.00,16.45,13.05,13.85
2024-01-10 09:25,60.30,86.80,57.05,80.25
2024-01-10 11:25,13.85,14.15,11.55,13.55
2024-01-10 11:35,15.95,16.70,10.75,11.15
2024-01-10 11:55,12.55,14.55,11.60,12.25
2024-01-10 09:45,24.75,39.40,23.30,28.85
2024-01-10 10:30,19.70,20.00,15.25,16.20
2024-01-10 12:15,14.70,17.65,14.70,17.00
2024-01-10 09:50,28.85,30.40,22.40,25.10
2024-01-10 10:35,16.20,18.05,15.95,16.15
2024-01-10 11:50,12.05,13.85,11.25,12.80
