Interval,Open,High,Low,Close
2024-01-10 13:00,5.60,5.90,5.20,5.25
2024-01-10 13:05,5.35,7.00,4.85,5.45
2024-01-10 09:45,36.85,37.75,18.20,21.95
2024-01-10 12:05,10.45,10.85,7.90,9.60
2024-01-10 10:40,24.70,25.00,16.75,17.75
2024-01-10 11:00,12.60,15.40,11.40,13.80
2024-01-10 11:10,11.85,16.15,11.10,15.30
2024-01-10 12:50,6.65,6.70,5.15,5.95
2024-01-10 13:15,6.70,7.95,5.05,6.00
2024-01-10 12:45,6.85,9.80,3.90,6.70
2024-01-10 13:40,5.05,5.90,4.50,5.70
2024-01-10 11:50,14.35,16.15,12.85,14.00
2024-01-10 10:05,22.25,26.30,19.10,23.10
2024-01-10 12:55,5.95,6.25,4.90,5.60
2024-01-10 10:10,23.10,32.25,22.60,30.60
2024-01-10 11:20,13.90,15.85,13.40,15.15
2024-01-10 13:25,5.70,6.00,4.90,5.80
2024-01-10 09:50,21.95,30.45,20.50,26.40
2024-01-10 13:30,5.65,7.45,4.70,4.85
2024-01-10 11:15,15.30,17.10,12.40,13.90
2024-01-10 09:30,9.80,29.50,9.55,27.85
2024-01-10 12:10,9.50,10.70,8.20,9.15
2024-01-10 12:15,9.15,9.60,8.45,8.65
2024-01-10 13:35,4.85,5.35,4.40,5.00
2024-01-10 09:20,15.50,16.35,13.60,14.05
2024-01-10 11:40,16.55,23.60,14.80,15.50
2024-01-10 11:55,14.00,15.00,12.10,14.05
2024-01-10 13:45,5.70,5.80,4.05,4.60
2024-01-10 10:00,27.15,27.15,22.10,22.25
2024-01-10 11:35,11.10,17.50,10.75,16.55
2024-01-10 12:30,9.00,11.55,7.90,10.80
2024-01-10 09:15,19.00,28.80,13.10,15.50
2024-01-10 10:20,35.15,36.25,19.20,20.35
2024-01-10 11:30,13.35,15.15,11.05,11.10
2024-01-10 12:20,8.65,9.15,7.55,7.85
2024-01-10 12:25,7.85,9.10,7.65,9.00
2024-01-10 09:55,26.40,29.70,20.25,27.15
2024-01-10 09:35,27.85,34.00,17.65,25.35
2024-01-10 10:35,25.15,26.15,22.65,24.70
2024-01-10 11:25,15.15,18.20,12.20,13.35
2024-01-10 11:45,15.15,17.95,12.45,14.35
2024-01-10 12:35,10.70,11.15,8.65,10.40
2024-01-10 12:40,10.40,10.65,6.55,6.85
2024-01-10 09:40,25.35,37.15,21.50,36.85
2024-01-10 10:25,20.35,21.35,15.80,20.30
2024-01-10 10:30,20.50,28.60,19.65,25.15
2024-01-10 10:45,17.75,18.95,11.90,13.00
2024-01-10 13:10,5.45,7.65,5.15,6.80
2024-01-10 10:55,13.60,15.70,11.80,12.60
2024-01-10 11:05,13.80,14.00,10.85,11.85
2024-01-10 09:25,14.05,14.65,9.70,9.80
2024-01-10 10:50,13.00,15.85,12.10,13.60
2024-01-10 12:00,14.05,14.70,10.45,10.45
2024-01-10 13:20,6.00,6.00,4.80,5.70
2024-01-10 10:15,30.60,45.25,28.90,35.15
